gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,adresse,latitude,longitude
Jernbanegade 6 1 TH,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,"Jernbanegade 6 1 TH, 6000 Kolding, danmark",55.4900077,9.4743539
Jernbanegade 6 1 TV,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,"Jernbanegade 6 1 TV, 6000 Kolding, danmark",55.4900077,9.4743539
Jernbanegade 6 2 TH,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,"Jernbanegade 6 2 TH, 6000 Kolding, danmark",55.4900077,9.4743539
Jernbanegade 6 2 TV,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,"Jernbanegade 6 2 TV, 6000 Kolding, danmark",55.4900077,9.4743539
Jernbanegade 8,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,240,False,"Jernbanegade 8, 6000 Kolding, danmark",55.4900786,9.4745658
Jernbanegade 8,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,240,False,"Jernbanegade 8, 6000 Kolding, danmark",55.4900786,9.4745658
Jernbanegade 10,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,"Jernbanegade 10, 6000 Kolding, danmark",55.4901022,9.4748229
Jernbanegade 10,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,"Jernbanegade 10, 6000 Kolding, danmark",55.4901022,9.4748229
Jernbanegade 10,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,"Jernbanegade 10, 6000 Kolding, danmark",55.4901022,9.4748229
Jernbanegade 11 02 1,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,"Jernbanegade 11 02 1, 6000 Kolding, danmark",55.49019680000001,9.4758515
Jernbanegade 11 02 2,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,"Jernbanegade 11 02 2, 6000 Kolding, danmark",55.49019680000001,9.4758515
Jernbanegade 11 02 3,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,"Jernbanegade 11 02 3, 6000 Kolding, danmark",55.49019680000001,9.4758515
Jernbanegade 11 02 4,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,"Jernbanegade 11 02 4, 6000 Kolding, danmark",55.49019680000001,9.4758515
Jernbanegade 15,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,660,False,"Jernbanegade 15, 6000 Kolding, danmark",55.4901995,9.4764975
Jernbanegade 15,6000,Kolding,1,"400 l. con, madaffald","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,400,False,"Jernbanegade 15, 6000 Kolding, danmark",55.4901995,9.4764975
Jernbanegade 15,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,660,False,"Jernbanegade 15, 6000 Kolding, danmark",55.4901995,9.4764975
Jernbanegade 16 A,6000,Kolding,1,"660 l. con, rest - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,660,False,"Jernbanegade 16 A, 6000 Kolding, danmark",55.4900805,9.4752548
Jernbanegade 16 A,6000,Kolding,1,"240 l. beh, mad - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,"Jernbanegade 16 A, 6000 Kolding, danmark",55.4900805,9.4752548
Jernbanegade 17 A,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,"Jernbanegade 17 A, 6000 Kolding, danmark",55.490142,9.4764493
Jernbanegade 17 A,6000,Kolding,1,"400 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,"Jernbanegade 17 A, 6000 Kolding, danmark",55.490142,9.4764493
Jernbanegade 17 A,6000,Kolding,1,"190 l. beholder, mad","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,"Jernbanegade 17 A, 6000 Kolding, danmark",55.490142,9.4764493
Jernbanegade 19,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,"Jernbanegade 19, 6000 Kolding, danmark",55.4901622,9.4766825
Jernbanegade 19,6000,Kolding,1,"140 l. beholder, mad","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,140,False,"Jernbanegade 19, 6000 Kolding, danmark",55.4901622,9.4766825
Jernbanegade 20,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,"Jernbanegade 20, 6000 Kolding, danmark",55.4900093,9.4761071
Jernbanegade 20,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,"Jernbanegade 20, 6000 Kolding, danmark",55.4900093,9.4761071
Jernbanegade 20,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,"Jernbanegade 20, 6000 Kolding, danmark",55.4900093,9.4761071
Jernbanegade 21,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,660,False,"Jernbanegade 21, 6000 Kolding, danmark",55.4901618,9.4769814
Jernbanegade 21,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,"Jernbanegade 21, 6000 Kolding, danmark",55.4901618,9.4769814
Jernbanegade 21,6000,Kolding,1,"400 l. con, restaffald","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,400,False,"Jernbanegade 21, 6000 Kolding, danmark",55.4901618,9.4769814
Jernbanegade 22,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,"Jernbanegade 22, 6000 Kolding, danmark",55.48999509999999,9.4762886
Jernbanegade 23,6000,Kolding,1,"770 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,"Jernbanegade 23, 6000 Kolding, danmark",55.4901523,9.4771024
Jernbanegade 23,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,"Jernbanegade 23, 6000 Kolding, danmark",55.4901523,9.4771024
Jernbanegade 23,6000,Kolding,1,"130 l. sæk, restaffald erhverv","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,130,True,"Jernbanegade 23, 6000 Kolding, danmark",55.4901523,9.4771024
Jernbanegade 24,6000,Kolding,1,"770 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,"Jernbanegade 24, 6000 Kolding, danmark",55.4899763,9.4765305
Jernbanegade 24,6000,Kolding,1,"400 l. con, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,"Jernbanegade 24, 6000 Kolding, danmark",55.4899763,9.4765305
Jernbanegade 24,6000,Kolding,1,"400 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,"Jernbanegade 24, 6000 Kolding, danmark",55.4899763,9.4765305
Jernbanegade 24,6000,Kolding,1,"770 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,"Jernbanegade 24, 6000 Kolding, danmark",55.4899763,9.4765305
Jernbanegade 24,6000,Kolding,1,"770 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,"Jernbanegade 24, 6000 Kolding, danmark",55.4899763,9.4765305
Jernbanegade 24,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,"Jernbanegade 24, 6000 Kolding, danmark",55.4899763,9.4765305
Jernbanegade 24,6000,Kolding,1,"770 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,"Jernbanegade 24, 6000 Kolding, danmark",55.4899763,9.4765305
Jernbanegade 28,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,660,False,"Jernbanegade 28, 6000 Kolding, danmark",55.4899703,9.4770761
